arquivo,categoria,quantidade_esperada,quantidade_extraida,tp,fp,fn,precisao,cobertura,taxa_falsos_positivos,taxa_falsos_negativos
1-s2.0-S266630742500035X-main.pdf,objetivo,3,3,3,0,0,1.0,1.0,0.0,0.0
1-s2.0-S266630742500035X-main.pdf,problema,4,4,2,2,2,0.5,0.5,0.5,0.5
1-s2.0-S266630742500035X-main.pdf,metodo,6,4,1,3,5,0.25,0.1667,0.75,0.8333
1-s2.0-S266630742500035X-main.pdf,contribuicoes,5,5,5,0,0,1.0,1.0,0.0,0.0
s10115-026-02685-6.pdf,objetivo,4,3,3,0,1,1.0,0.75,0.0,0.25
s10115-026-02685-6.pdf,problema,6,4,2,2,4,0.5,0.3333,0.5,0.6667
s10115-026-02685-6.pdf,metodo,12,4,0,4,12,0.0,0.0,1.0,1.0
s10115-026-02685-6.pdf,contribuicoes,3,2,2,0,1,1.0,0.6667,0.0,0.3333
s10791-026-09990-2.pdf,objetivo,3,3,2,1,1,0.6667,0.6667,0.3333,0.3333
s10791-026-09990-2.pdf,problema,7,4,1,3,6,0.25,0.1429,0.75,0.8571
s10791-026-09990-2.pdf,metodo,10,4,1,3,9,0.25,0.1,0.75,0.9
s10791-026-09990-2.pdf,contribuicoes,7,1,1,0,6,1.0,0.1429,0.0,0.8571
s40507-026-00463-5.pdf,objetivo,3,2,1,1,2,0.5,0.3333,0.5,0.6667
s40507-026-00463-5.pdf,problema,8,4,2,2,6,0.5,0.25,0.5,0.75
s40507-026-00463-5.pdf,metodo,10,4,0,4,10,0.0,0.0,1.0,1.0
s40507-026-00463-5.pdf,contribuicoes,6,0,0,0,6,0.0,0.0,0.0,1.0
s40507-026-00483-1.pdf,objetivo,7,3,2,1,5,0.6667,0.2857,0.3333,0.7143
s40507-026-00483-1.pdf,problema,5,4,0,4,5,0.0,0.0,1.0,1.0
s40507-026-00483-1.pdf,metodo,8,4,0,4,8,0.0,0.0,1.0,1.0
s40507-026-00483-1.pdf,contribuicoes,8,0,0,0,8,0.0,0.0,0.0,1.0
s40507-026-00513-y.pdf,objetivo,4,2,0,2,4,0.0,0.0,1.0,1.0
s40507-026-00513-y.pdf,problema,8,4,2,2,6,0.5,0.25,0.5,0.75
s40507-026-00513-y.pdf,metodo,12,4,1,3,11,0.25,0.0833,0.75,0.9167
s40507-026-00513-y.pdf,contribuicoes,8,1,1,0,7,1.0,0.125,0.0,0.875
s41534-025-01146-2.pdf,objetivo,5,3,2,1,3,0.6667,0.4,0.3333,0.6
s41534-025-01146-2.pdf,problema,7,4,1,3,6,0.25,0.1429,0.75,0.8571
s41534-025-01146-2.pdf,metodo,9,4,0,4,9,0.0,0.0,1.0,1.0
s41534-025-01146-2.pdf,contribuicoes,6,0,0,0,6,0.0,0.0,0.0,1.0
s41534-025-01171-1.pdf,objetivo,5,3,1,2,4,0.3333,0.2,0.6667,0.8
s41534-025-01171-1.pdf,problema,6,4,1,3,5,0.25,0.1667,0.75,0.8333
s41534-025-01171-1.pdf,metodo,14,4,0,4,14,0.0,0.0,1.0,1.0
s41534-025-01171-1.pdf,contribuicoes,6,0,0,0,6,0.0,0.0,0.0,1.0
s41598-025-32572-z.pdf,objetivo,3,3,1,2,2,0.3333,0.3333,0.6667,0.6667
s41598-025-32572-z.pdf,problema,11,4,2,2,9,0.5,0.1818,0.5,0.8182
s41598-025-32572-z.pdf,metodo,9,4,0,4,9,0.0,0.0,1.0,1.0
s41598-025-32572-z.pdf,contribuicoes,7,0,0,0,7,0.0,0.0,0.0,1.0
s41598-026-40634-z.pdf,objetivo,4,3,2,1,2,0.6667,0.5,0.3333,0.5
s41598-026-40634-z.pdf,problema,6,4,2,2,4,0.5,0.3333,0.5,0.6667
s41598-026-40634-z.pdf,metodo,16,4,1,3,15,0.25,0.0625,0.75,0.9375
s41598-026-40634-z.pdf,contribuicoes,5,0,0,0,5,0.0,0.0,0.0,1.0
s41598-026-42859-4.pdf,objetivo,4,3,2,1,2,0.6667,0.5,0.3333,0.5
s41598-026-42859-4.pdf,problema,8,4,3,1,5,0.75,0.375,0.25,0.625
s41598-026-42859-4.pdf,metodo,17,4,2,2,15,0.5,0.1176,0.5,0.8824
s41598-026-42859-4.pdf,contribuicoes,5,0,0,0,5,0.0,0.0,0.0,1.0
s43926-026-00316-8.pdf,objetivo,4,2,1,1,3,0.5,0.25,0.5,0.75
s43926-026-00316-8.pdf,problema,5,4,2,2,3,0.5,0.4,0.5,0.6
s43926-026-00316-8.pdf,metodo,17,4,0,4,17,0.0,0.0,1.0,1.0
s43926-026-00316-8.pdf,contribuicoes,7,1,1,0,6,1.0,0.1429,0.0,0.8571
